Date,SPX Return,Time to Maturity in Year,Delta,Implied Volatility Change
20140630,0.006677771,0.184,0.745927,0.008462
20140630,0.006677771,2.252,0.286911,0.002024
20140630,0.006677771,0.124,0.902941,0.019707
20140630,0.006677771,2.144,0.910926,0.006424
20140630,0.006677771,1.412,0.88576,0.005673
20140630,0.006677771,0.688,0.523743,0.003629
20140630,0.006677771,0.208,0.67301,0.006828
20140630,0.006677771,0.096,0.56976,0.007525
20140630,0.006677771,0.8,0.643476,0.003361
20140630,0.006677771,0.436,0.655883,0.005579
20140630,0.006677771,3.596,0.894128,0.005702
20140630,0.006677771,0.096,0.893869,0.019741
20140630,0.006677771,1.092,0.905525,0.007359
20140630,0.006677771,1.048,0.298823,0.002728
20140630,0.006677771,0.436,0.807456,0.005871
20140630,0.006677771,2.144,0.926279,0.007947
20140630,0.006677771,2.868,0.936065,0.014565
20140630,0.006677771,2.144,0.836849,0.004743
20140630,0.006677771,0.324,0.676822,0.006765
20140630,0.006677771,0.436,0.476874,0.00472
20140630,0.006677771,0.072,0.901072,0.027237
20140630,0.006677771,1.048,0.792268,0.00431
20140630,0.006677771,0.324,0.124603,0.001637
20140630,0.006677771,0.732,0.103392,0.001143
20140630,0.006677771,0.732,0.938188,0.01183
20140630,0.006677771,3.596,0.938409,0.018674
20140630,0.006677771,0.324,0.111627,0.002121
20140630,0.006677771,2.868,0.929113,0.011987
20140630,0.006677771,0.072,0.923744,0.030922
20140630,0.006677771,1.048,0.849134,0.005082
20140630,0.006677771,0.688,0.802938,0.004515
20140630,0.006677771,3.596,0.864945,0.004328
20140630,0.006677771,1.412,0.124575,0.002097
20140630,0.006677771,1.048,0.347968,0.002832
20140630,0.006677771,0.324,0.08697,0.000804
20140630,0.006677771,0.732,0.76446,0.004506
20140630,0.006677771,0.124,0.115142,0.001763
20140630,0.006677771,0.324,0.433926,0.004958
20140630,0.006677771,2.144,0.566998,0.002857
20140630,0.006677771,2.144,0.812966,0.004308
20140630,0.006677771,0.8,0.936546,0.011318
20140630,0.006677771,1.412,0.9041,0.006793
20140630,0.006677771,0.184,0.080881,0.000819
20140630,0.006677771,2.868,0.318091,0.002075
20140630,0.006677771,0.364,0.675387,0.005748
20140630,0.006677771,0.436,0.092993,0.000885
20140630,0.006677771,2.868,0.510546,0.002427
20140630,0.006677771,2.868,0.689829,0.003575
20140630,0.006677771,2.252,0.656337,0.002759
20140630,0.006677771,0.152,0.657409,0.007532
20140630,0.006677771,0.732,0.894298,0.007594
20140630,0.006677771,3.596,0.096331,-0.000462
20140630,0.006677771,0.152,0.231297,0.004092
20140630,0.006677771,2.144,0.947868,0.012618
20140630,0.006677771,3.596,0.491983,0.001438
20140630,0.006677771,0.688,0.558444,0.004069
20140630,0.006677771,1.412,0.864165,0.005165
20140630,0.006677771,0.152,0.92284,0.020384
20140630,0.006677771,0.436,0.778469,0.006293
20140630,0.006677771,0.124,0.323078,0.003829
20140630,0.006677771,0.208,0.187672,0.002453
20140630,0.006677771,0.124,0.820201,0.011526
20140630,0.006677771,0.072,0.19571,0.00459
20140630,0.006677771,0.436,0.405822,0.004085
20140630,0.006677771,2.868,0.078912,0.001802
20140630,0.006677771,3.596,0.212325,0.000807
20140630,0.006677771,1.412,0.931677,0.009029
20140630,0.006677771,0.124,0.945628,0.029024
20140630,0.006677771,0.124,0.938693,0.026033
20140630,0.006677771,0.124,0.9282,0.025058
20140630,0.006677771,0.152,0.547474,0.007163
20140630,0.006677771,0.688,0.888866,0.007264
20140630,0.006677771,0.8,0.919347,0.007873
20140630,0.006677771,0.124,0.092474,0.001676
20140630,0.006677771,2.144,0.280263,0.001913
20140630,0.006677771,0.096,0.826207,0.013192
20140630,0.006677771,1.412,0.525115,0.003325
20140630,0.006677771,2.252,0.315219,0.002025
20140630,0.006677771,0.124,0.364775,0.004035
20140630,0.006677771,2.868,0.617217,0.003792
20140630,0.006677771,0.208,0.876463,0.012365
20140630,0.006677771,0.124,0.483786,0.006436
20140630,0.006677771,0.436,0.876406,0.007708
20140630,0.006677771,2.252,0.92583,0.007969
20140630,0.006677771,1.092,0.399553,0.002859
20140630,0.006677771,2.144,0.875826,0.005798
20140630,0.006677771,0.124,0.794232,0.011688
20140630,0.006677771,0.436,0.931206,0.012138
20140630,0.006677771,2.144,0.93068,0.008535
20140630,0.006677771,0.324,0.252635,0.00383
20140630,0.006677771,0.324,0.661981,0.007059
20140630,0.006677771,0.152,0.096775,0.001766
20140630,0.006677771,3.596,0.928497,0.012635
20140630,0.006677771,2.252,0.892771,0.006815
20140630,0.006677771,2.144,0.785836,0.003934
20140630,0.006677771,0.184,0.886913,0.014515
20140630,0.006677771,0.124,0.520761,0.006962
20140630,0.006677771,1.412,0.705079,0.003664
20140630,0.006677771,2.252,0.86126,0.005855
20140630,0.006677771,0.072,0.842467,0.020289
20140701,0.000658813,1.408,0.434691,-0.003266
20140701,0.000658813,0.36,0.818465,-0.004892
20140701,0.000658813,0.796,0.926454,-0.009127
20140701,0.000658813,0.12,0.468867,-0.004803
20140701,0.000658813,0.12,0.344316,-0.004318
20140701,0.000658813,0.148,0.671495,-0.008195
20140701,0.000658813,1.452,0.773948,-0.005014
20140701,0.000658813,1.408,0.943511,-0.01033
20140701,0.000658813,0.148,0.074651,-0.004024
20140701,0.000658813,0.36,0.265362,-0.003632
20140701,0.000658813,1.408,0.35661,-0.002944
20140701,0.000658813,1.408,0.715685,-0.004661
20140701,0.000658813,2.248,0.601222,-0.002731
20140701,0.000658813,0.068,0.465612,-0.005522
20140701,0.000658813,0.148,0.909063,-0.013498
20140701,0.000658813,0.204,0.918052,-0.015467
20140701,0.000658813,0.204,0.129984,-0.003694
20140701,0.000658813,0.32,0.74485,-0.007635
20140701,0.000658813,0.432,0.308673,-0.003522
20140701,0.000658813,0.148,0.130763,-0.003806
20140701,0.000658813,2.14,0.790489,-0.00578
20140701,0.000658813,0.728,0.84795,-0.007501
20140701,0.000658813,0.12,0.750692,-0.010866
20140701,0.000658813,1.088,0.095898,-0.002049
20140701,0.000658813,2.248,0.418533,-0.002266
20140701,0.000658813,2.864,0.26339,-0.001915
20140701,0.000658813,0.32,0.426779,-0.004556
20140701,0.000658813,3.592,0.865782,-0.006843
